Feature,Importance
has_error_orig,0.2206222414454882
error_balance_orig,0.21406326465846304
balance_diff_orig,0.14069300951866395
amount_to_orig_balance_ratio,0.12228867662199767
origin_zero_after,0.0853031497257864
newbalanceOrig,0.05678502496032568
oldbalanceOrg,0.03379492711779643
amount_to_dest_balance_ratio,0.01911493964521042
amount,0.01864907334447382
type_PAYMENT,0.017094459492089143
log_amount,0.012018574950317419
type_TRANSFER,0.011312257007982785
day,0.007485735739204966
error_balance_dest,0.007444411332888153
balance_diff_dest,0.00721136952773748
type_CASH_OUT,0.004571965252704079
origin_zero_before,0.0034443515853462463
type_CASH_IN,0.0032314502936209417
newbalanceDest,0.0030235266203823136
hour,0.0023135135077008394
dest_zero_before,0.0022917099285271456
has_error_dest,0.002282846620763952
amount_category_encoded,0.0016424095682787867
dest_zero_after,0.0012230540612669018
step,0.0012080617520097885
oldbalanceDest,0.0008487019144594158
type_DEBIT,3.729380651423059e-05
