Feature,Type
step,int64
amount,float64
oldbalanceOrg,float64
newbalanceOrig,float64
oldbalanceDest,float64
newbalanceDest,float64
error_balance_orig,float64
error_balance_dest,float64
has_error_orig,int64
has_error_dest,int64
origin_zero_before,int64
origin_zero_after,int64
dest_zero_before,int64
dest_zero_after,int64
amount_to_orig_balance_ratio,float64
amount_to_dest_balance_ratio,float64
log_amount,float64
amount_category_encoded,int64
day,int64
hour,int64
balance_diff_orig,float64
balance_diff_dest,float64
type_CASH_IN,bool
type_CASH_OUT,bool
type_DEBIT,bool
type_PAYMENT,bool
type_TRANSFER,bool
